"0","892","0","0","3","418.20","1981-10-18 04:50:16","true"
"1","2000","1","1","10","301.57","1973-02-02 10:25:11","false"
"2","22","2","2","7","266.07","1994-04-16 20:56:00","true"
"3","1634","3","3","4","399.15","2012-09-28 14:09:52","true"
"4","924","4","4","7","266.67","2003-05-23 15:07:19","true"
"5","1208","5","5","4","43.10","2007-08-30 09:38:08","true"
"6","1141","6","6","4","27.21","1970-09-06 13:51:36","true"
"7","321","7","7","10","159.80","1995-04-13 02:45:38","true"
"8","1300","8","8","4","337.35","2019-01-27 17:41:06","false"
"9","625","9","9","10","170.99","1987-12-09 16:00:09","false"
"10","856","10","10","8","31.34","2007-09-22 13:44:54","true"
"11","1995","11","11","7","485.05","1989-02-05 07:31:25","false"
"12","1014","12","12","9","395.34","1978-03-18 23:29:26","true"
"13","1852","13","13","10","150.39","1980-05-17 05:42:11","false"
"14","1800","14","14","1","82.27","2016-11-28 12:41:19","false"
"15","540","15","15","10","43.20","1993-11-13 05:50:26","false"
"16","416","16","16","4","219.97","1986-12-04 09:29:02","false"
"17","281","17","17","8","419.66","2006-11-12 22:49:49","true"
"18","1381","18","18","10","407.08","1986-05-28 14:56:19","true"
"19","1265","19","19","8","478.17","2006-03-11 04:50:35","true"
"20","1406","20","20","9","19.69","2011-06-12 04:51:52","true"
"21","230","21","21","9","272.66","1985-11-11 07:49:50","true"
"22","621","22","22","1","488.31","2012-03-15 13:34:19","true"
"23","1687","23","23","5","257.93","1977-04-25 22:07:31","true"
"24","149","24","24","5","424.19","1990-01-07 23:09:55","true"
"25","1886","25","25","2","190.45","1975-03-11 04:40:55","true"
"26","489","26","26","7","488.21","2020-02-09 21:30:26","true"
"27","1062","27","27","5","134.88","1995-06-18 17:26:58","false"
"28","447","28","28","10","8.55","1972-05-08 07:57:25","false"
"29","1908","29","29","8","389.52","2000-02-29 14:23:39","false"
"30","1212","30","30","10","340.24","2018-11-26 01:13:27","false"
"31","1142","31","31","9","372.68","2007-03-20 08:44:31","false"
"32","1610","32","32","8","229.98","1998-06-01 14:30:35","false"
"33","1301","33","33","1","50.74","1989-12-24 03:28:56","true"
"34","1771","34","34","3","106.41","1973-01-18 07:00:34","true"
"35","526","35","35","5","454.04","1997-03-15 04:11:02","false"
"36","1578","36","36","5","170.00","2003-04-29 07:37:01","true"
"37","614","37","37","9","244.17","2004-03-06 14:02:40","false"
"38","1496","38","38","4","450.54","2002-12-01 08:08:52","false"
"39","1540","39","39","5","84.27","2017-01-26 03:23:06","false"
"40","464","40","40","1","111.31","2011-11-17 06:56:39","false"
"41","365","41","41","8","232.83","1983-09-24 13:08:52","false"
"42","1876","42","42","9","218.04","1989-06-28 19:08:23","true"
"43","858","43","43","7","178.81","2004-09-24 21:08:27","true"
"44","362","44","44","7","382.28","1997-02-15 06:50:47","false"
"45","365","45","45","1","495.84","2000-08-31 12:05:39","false"
"46","213","46","46","6","291.26","2014-07-09 14:30:23","true"
"47","1825","47","47","6","271.96","1988-02-20 11:56:58","false"
"48","491","48","48","5","91.59","2006-09-19 14:37:34","false"
"49","570","49","49","3","294.02","2011-03-02 02:41:22","false"
"50","598","50","50","1","246.05","1972-05-24 07:17:03","false"
"51","578","51","51","8","463.99","1978-05-13 14:28:31","true"
"52","489","52","52","7","234.53","1983-09-14 02:20:59","true"
"53","1513","53","53","6","141.54","1988-08-05 18:29:22","true"
"54","1349","54","54","6","59.91","1979-08-23 15:22:20","true"
"55","863","55","55","6","277.16","2003-11-18 17:18:47","true"
"56","336","56","56","10","1.22","1971-03-05 03:42:35","true"
"57","773","57","57","7","478.51","2021-01-26 09:30:55","false"
"58","394","58","58","6","430.95","1972-06-19 12:17:55","false"
"59","1689","59","59","1","462.64","2009-07-07 20:12:13","true"
"60","675","60","60","5","478.54","2017-05-10 07:15:45","false"
"61","1486","61","61","4","191.36","1978-01-12 15:18:55","false"
"62","125","62","62","5","483.15","2000-12-14 02:09:43","false"
"63","1353","63","63","2","490.42","1992-11-29 12:45:31","true"
"64","261","64","64","10","245.40","1997-08-07 17:43:16","true"
"65","1534","65","65","5","178.98","2007-09-24 23:46:27","false"
"66","351","66","66","10","215.73","1998-07-17 16:55:48","true"
"67","537","67","67","8","332.34","2018-02-16 20:27:20","true"
"68","1256","68","68","2","405.05","2006-12-07 04:39:42","true"
"69","945","69","69","9","281.81","1972-09-24 19:55:01","false"
"70","941","70","70","8","213.67","1981-01-01 00:35:49","true"
"71","1175","71","71","4","69.01","2020-11-13 20:31:55","true"
"72","1170","72","72","5","436.63","2000-12-24 00:34:44","true"
"73","1089","73","73","10","5.49","1989-05-14 16:11:32","true"
"74","1982","74","74","4","371.57","1979-01-12 10:31:17","false"
"75","208","75","75","3","479.48","2006-10-12 08:21:15","false"
"76","1378","76","76","10","65.20","1973-07-03 05:32:54","true"
"77","311","77","77","3","387.95","1976-02-06 09:55:15","false"
"78","1621","78","78","6","53.05","1985-01-17 16:29:33","true"
"79","1283","79","79","8","442.03","1975-04-21 12:04:32","false"
"80","1634","80","80","10","62.86","1977-10-07 16:53:33","false"
"81","1332","81","81","5","248.19","1999-09-01 13:38:43","true"
"82","1532","82","82","6","265.99","2020-09-28 06:57:40","false"
"83","133","83","83","10","18.88","1972-10-09 05:10:47","true"
"84","1631","84","84","3","379.20","2001-03-27 11:34:35","false"
"85","1036","85","85","10","490.32","1984-03-12 07:30:39","false"
"86","1519","86","86","4","420.69","2006-03-10 07:22:19","true"
"87","1332","87","87","3","297.28","2009-01-23 14:57:24","false"
"88","779","88","88","8","190.88","2008-09-16 19:48:53","true"
"89","1822","89","89","9","175.39","2000-12-31 01:07:04","false"
"90","1035","90","90","4","100.50","1980-03-14 04:22:27","false"
"91","216","91","91","6","99.13","2007-12-11 09:27:51","false"
"92","553","92","92","2","165.11","1998-08-07 01:37:04","true"
"93","666","93","93","2","186.66","1971-08-20 05:20:33","true"
"94","472","94","94","5","1.38","2008-10-29 11:56:35","true"
"95","1997","95","95","4","183.12","1991-08-31 16:42:17","true"
"96","944","96","96","6","466.67","2005-06-15 14:28:28","true"
"97","817","97","97","5","97.26","2006-09-03 12:58:15","true"
"98","616","98","98","1","37.24","2003-08-29 18:38:56","false"
"99","98","99","99","5","153.47","1992-09-13 08:54:45","true"
"100","42","100","100","5","142.94","2001-11-04 19:52:23","false"
"101","1119","101","101","10","419.07","2001-10-09 12:19:35","true"
"102","196","102","102","6","456.07","1999-11-09 18:49:33","false"
"103","866","103","103","10","104.07","1995-12-26 17:05:36","true"
"104","323","104","104","2","365.43","2013-07-03 14:30:34","false"
"105","1712","105","105","3","411.78","1979-07-09 22:48:59","false"
"106","419","106","106","3","394.98","2010-04-15 05:30:25","true"
"107","93","107","107","8","54.97","1986-01-12 17:55:27","true"
"108","1141","108","108","9","410.94","1994-05-04 06:12:11","false"
"109","424","109","109","8","358.52","2012-03-05 02:24:50","true"
"110","709","110","110","10","131.04","2001-10-11 09:09:07","true"
"111","291","111","111","3","267.88","1992-10-11 12:40:24","false"
"112","358","112","112","10","448.41","2002-06-27 18:39:12","true"
"113","1270","113","113","6","145.20","2019-11-23 16:33:05","false"
"114","773","114","114","3","367.91","2004-02-26 05:21:07","true"
"115","1885","115","115","7","350.25","2001-07-18 01:00:40","false"
"116","777","116","116","9","400.57","1981-05-14 14:26:59","false"
"117","1258","117","117","7","364.91","2013-04-12 22:40:22","false"
